group_A,group_B,conv_A,clicks_A,rate_A,conv_B,clicks_B,rate_B,difference,odds_ratio,p_value,significant,significant_bonferroni,p_value_fdr,significant_fdr
Google Display,Google Search,9109,1809793,0.005033,216694,11515557,0.018818,0.013784,0.2638,0.0,True,True,0.0,True
Google Display,LinkedIn,9109,1809793,0.005033,5588,685644,0.00815,0.003117,0.6156,5.082750677243289e-170,True,True,7.624126015864933e-170,True
Google Display,Meta,9109,1809793,0.005033,41978,4439765,0.009455,0.004422,0.53,0.0,True,True,0.0,True
Google Display,Snapchat,9109,1809793,0.005033,21148,3230264,0.006547,0.001514,0.7676,1.994779127042725e-101,True,True,2.7201533550582615e-101,True
Google Display,TikTok,9109,1809793,0.005033,28281,3936117,0.007185,0.002152,0.699,2.917969523242225e-204,True,True,4.863282538737042e-204,True
Google Search,LinkedIn,216694,11515557,0.018818,5588,685644,0.00815,-0.010667,2.334,0.0,True,True,0.0,True
Google Search,Meta,216694,11515557,0.018818,41978,4439765,0.009455,-0.009362,2.0092,0.0,True,True,0.0,True
Google Search,Snapchat,216694,11515557,0.018818,21148,3230264,0.006547,-0.012271,2.9102,0.0,True,True,0.0,True
Google Search,TikTok,216694,11515557,0.018818,28281,3936117,0.007185,-0.011633,2.65,0.0,True,True,0.0,True
LinkedIn,Meta,5588,685644,0.00815,41978,4439765,0.009455,0.001305,0.8608,1.446625226352943e-26,True,True,1.6691829534841648e-26,True
LinkedIn,Snapchat,5588,685644,0.00815,21148,3230264,0.006547,-0.001603,1.2469,2.0676564733061106e-46,True,True,2.5845705916326382e-46,True
LinkedIn,TikTok,5588,685644,0.00815,28281,3936117,0.007185,-0.000965,1.1354,1.6215063809637604e-17,True,True,1.6215063809637604e-17,True
Meta,Snapchat,41978,4439765,0.009455,21148,3230264,0.006547,-0.002908,1.4485,0.0,True,True,0.0,True
Meta,TikTok,41978,4439765,0.009455,28281,3936117,0.007185,-0.00227,1.319,2.2200010807449336e-285,True,True,4.162502026396751e-285,True
Snapchat,TikTok,21148,3230264,0.006547,28281,3936117,0.007185,0.000638,0.9106,8.331531976522339e-25,True,True,8.926641403416792e-25,True
