platform,date,spend,impressions,clicks,conversions,revenue,reach,video_views,CTR,conversion_rate,CPA,ROAS,profit,profit_margin
Google Display,2023-01-01,1098.49,196845,1452,6,687.72,107925,0,0.0073763621123218,0.0041322314049586,183.08166666666668,0.6260594088248413,-410.77,-0.5972925027627523
Google Display,2023-01-02,395.31,112486,796,1,0.0,49793,22198,0.0070764361787244,0.0012562814070351,395.31,0.0,-395.31,
Google Display,2023-01-03,1617.57,255547,1383,0,0.0,163976,35245,0.0054119203121147,0.0,,0.0,-1617.57,
Google Display,2023-01-04,1571.1,464806,2746,20,1633.08,226092,70168,0.0059078411208116,0.0072833211944646,78.55499999999999,1.0394500668321558,61.98000000000002,0.0379528253361746
Google Display,2023-01-05,230.01,30009,220,2,75.71000000000001,13628,2363,0.0073311339931353,0.009090909090909,115.005,0.3291596017564454,-154.29999999999998,-2.038039889050323
Google Display,2023-01-06,382.29,69730,378,1,47.63,46079,5480,0.005420909221282,0.0026455026455026,382.29,0.1245912788720604,-334.66,-7.026243963888304
Google Display,2023-01-07,1883.45,355299,1857,0,0.0,176390,70496,0.0052265838068781,0.0,,0.0,-1883.45,
Google Display,2023-01-08,796.86,141007,700,1,8.49,58524,0,0.0049642925528519,0.0014285714285714,796.86,0.0106543181989308,-788.37,-92.85865724381624
Google Display,2023-01-09,1342.5099999999998,325009,2976,44,782.4,157505,0,0.0091566695076136,0.0147849462365591,30.511590909090906,0.5827889550170949,-560.1099999999998,-0.7158870143149282
Google Display,2023-01-10,1317.42,189773,633,0,0.0,75532,0,0.0033355640686504,0.0,,0.0,-1317.42,
Google Display,2023-01-11,539.47,89922,564,0,0.0,49731,0,0.0062721024888236,0.0,,0.0,-539.47,
Google Display,2023-01-12,1680.25,509341,4339,34,1565.78,254132,0,0.008518850828816,0.0078359068909887,49.419117647058826,0.9318732331498288,-114.47000000000004,-0.073107333086385
Google Display,2023-01-13,1673.4699999999998,311714,1607,2,41.65,213177,0,0.0051553667785213,0.0012445550715619,836.7349999999999,0.0248884055286321,-1631.8199999999997,-39.17935174069628
Google Display,2023-01-14,972.79,235990,520,0,0.0,119981,61029,0.0022034831984406,0.0,,0.0,-972.79,
Google Display,2023-01-15,906.96,264487,1677,8,693.59,122738,12170,0.0063405762854128,0.0047704233750745,113.37,0.764741554203052,-213.37,-0.3076313095632866
Google Display,2023-01-17,1088.42,283384,2552,31,471.06,106305,0,0.0090054484374558,0.0121473354231974,35.11032258064516,0.4327924881938957,-617.3600000000001,-1.3105761474122195
Google Display,2023-01-18,107.23,17173,77,0,0.0,9371,0,0.0044837826821172,0.0,,0.0,-107.23,
Google Display,2023-01-19,102.29,23523,153,1,95.47,10671,0,0.0065042724142328,0.0065359477124183,102.29,0.9333268159155343,-6.819999999999993,-0.0714360532104325
Google Display,2023-01-20,558.2,137355,671,0,0.0,82635,15092,0.0048851516144297,0.0,,0.0,-558.2,
Google Display,2023-01-21,637.18,196508,1405,1,0.0,105961,0,0.0071498361389867,0.0007117437722419,637.18,0.0,-637.18,
Google Display,2023-01-22,133.38,47700,329,0,0.0,21814,0,0.0068972746331236,0.0,,0.0,-133.38,
Google Display,2023-01-24,1461.9,433445,2804,2,22.55,229881,0,0.0064691021928964,0.0007132667617689,730.9499999999999,0.0154251316779533,-1439.35,-63.82926829268292
Google Display,2023-01-25,1673.4299999999998,253579,1942,16,991.4,145819,0,0.0076583628770521,0.0082389289392378,104.589375,0.5924358951375319,-682.0299999999999,-0.6879463385111961
Google Display,2023-01-26,2132.7,718726,3830,3,21.71,479642,113037,0.0053288735902137,0.0007832898172323,710.9,0.0101795845641674,-2110.99,-97.23583602026714
Google Display,2023-01-27,1266.9,418527,3236,3,0.0,212851,34158,0.0077318787079447,0.0009270704573547,422.3,0.0,-1266.9,
Google Display,2023-01-28,4030.92,1187800,7721,43,1087.19,512003,57153,0.0065002525677723,0.0055692267840953,93.74232558139536,0.2697126214362974,-2943.73,-2.707649996780692
Google Display,2023-01-29,175.41,47668,311,3,110.37,26260,0,0.0065242930267684,0.0096463022508038,58.47,0.6292115614845221,-65.03999999999999,-0.5892905680891546
Google Display,2023-01-30,785.92,131210,951,2,102.84,55775,0,0.0072479231765871,0.0021030494216614,392.96,0.1308530130293159,-683.0799999999999,-6.642162582652664
Google Display,2023-01-31,248.3,76470,694,12,312.45,35791,0,0.0090754544265725,0.0172910662824207,20.691666666666663,1.2583568264196536,64.14999999999998,0.2053128500560088
Google Display,2023-02-01,38.07,10824,63,0,0.0,6444,0,0.005820399113082,0.0,,0.0,-38.07,
Google Display,2023-02-02,74.8,27206,218,3,26.21,13143,0,0.0080129383224288,0.0137614678899082,24.933333333333334,0.3504010695187166,-48.59,-1.8538725677222432
Google Display,2023-02-03,1985.65,476452,1685,6,101.75,301469,22681,0.0035365577224988,0.0035608308605341,330.94166666666666,0.051242666129479,-1883.9,-18.514987714987715
Google Display,2023-02-04,1168.12,151773,1498,14,941.02,63863,0,0.0098700032285057,0.0093457943925233,83.43714285714285,0.8055850426326063,-227.0999999999999,-0.2413338717561793
Google Display,2023-02-06,1158.06,156452,668,0,0.0,85318,0,0.0042696801574923,0.0,,0.0,-1158.06,
